# jieba 领域词典 — 计算机 / IT / 通信 / 网络 / AI 智算
# 格式: 词语 词频(可选) 词性(可选)
# 词频越高，jieba 越倾向将其保留为完整词组
# --- 计算机基础 ---
中央处理器 100 n
内存条 80 n
硬盘驱动器 60 n
固态硬盘 80 n
机械硬盘 60 n
主板 80 n
显卡 80 n
显示器 60 n
笔记本电脑 100 n
台式机 80 n
服务器 100 n
工作站 60 n
磁盘阵列 60 n
独立显卡 60 n
集成显卡 60 n
散热器 50 n
电源适配器 50 n
# --- 操作系统与软件 ---
操作系统 100 n
应用程序 80 n
驱动程序 60 n
编译器 60 n
解释器 50 n
调试器 50 n
集成开发环境 60 n
版本控制 60 n
源代码 80 n
可执行文件 60 n
动态链接库 60 n
命令行 60 n
图形界面 60 n
桌面环境 50 n
文件系统 60 n
进程管理 50 n
内存管理 50 n
任务调度 50 n
输入输出 60 n
多线程 60 n
并发编程 60 n
面向对象 60 n
函数式编程 50 n
设计模式 60 n
微服务 80 n
容器化 60 n
持续集成 60 n
持续部署 60 n
自动化测试 60 n
单元测试 60 n
集成测试 50 n
端到端测试 50 n
# --- 编程语言与工具 ---
编程语言 80 n
脚本语言 60 n
编译型语言 50 n
解释型语言 50 n
静态类型 50 n
动态类型 50 n
数据结构和算法 60 n
正则表达式 60 n
数据库 100 n
关系型数据库 80 n
非关系型数据库 60 n
结构化查询语言 80 n
键值存储 50 n
文档数据库 50 n
图数据库 50 n
缓存 80 n
消息队列 80 n
# --- 网络 ---
网络协议 80 n
网络拓扑 60 n
局域网 80 n
广域网 80 n
城域网 60 n
无线网络 80 n
虚拟专用网络 80 n
网络地址转换 60 n
动态主机配置协议 60 n
域名系统 80 n
负载均衡 80 n
内容分发网络 60 n
防火墙 80 n
入侵检测 60 n
入侵防御 60 n
网关 60 n
子网掩码 50 n
路由协议 60 n
开放最短路径优先 40 n
边界网关协议 40 n
多协议标签交换 40 n
软件定义网络 50 n
网络功能虚拟化 40 n
# --- 交换机与路由器 ---
交换机 80 n
路由器 80 n
三层交换机 60 n
核心交换机 50 n
接入交换机 50 n
汇聚交换机 50 n
路由器接口 40 n
以太网端口 50 n
光模块 50 n
光纤收发器 40 n
网线 60 n
双绞线 50 n
光纤 60 n
无线接入点 60 n
无线控制器 50 n
端口镜像 40 n
链路聚合 40 n
生成树协议 40 n
快速生成树协议 40 n
虚拟局域网 60 n
链路层发现协议 40 n
简单网络管理协议 40 n
网络管理系统 40 n
命令行接口 50 n
带外管理 30 n
# --- 通信与电信 ---
基站 80 n
移动通信 80 n
第五代移动通信 80 n
第四代移动通信 60 n
第三代移动通信 50 n
长期演进 50 n
窄带物联网 40 n
增强移动宽带 40 n
超高可靠低时延 40 n
大规模机器通信 40 n
核心网 60 n
接入网 60 n
传输网 60 n
光传送网 40 n
同步数字体系 40 n
波分复用 40 n
光网络单元 40 n
光线路终端 40 n
无源光网络 40 n
以太网无源光网络 40 n
吉比特无源光网络 40 n
综合业务接入网 30 n
信令 40 n
会话初始协议 40 n
互联网协议多媒体子系统 30 n
软交换 40 n
网管系统 40 n
网元管理系统 40 n
# --- 信息安全 ---
信息安全 80 n
网络安全 80 n
数据安全 80 n
应用安全 60 n
端点安全 50 n
零信任 60 n
身份认证 60 n
访问控制 60 n
加密算法 60 n
公钥基础设施 60 n
数字证书 60 n
安全套接层 60 n
传输层安全 60 n
防火墙规则 50 n
安全策略 60 n
渗透测试 60 n
漏洞扫描 50 n
安全审计 50 n
日志分析 50 n
安全运营中心 50 n
安全信息和事件管理 50 n
数据防泄漏 50 n
堡垒机 50 n
Web应用防火墙 50 n
分布式拒绝服务 50 n
抗DDoS 40 n
# --- 云计算与数据中心 ---
云计算 100 n
数据中心 100 n
基础设施即服务 60 n
平台即服务 60 n
软件即服务 60 n
公有云 80 n
私有云 80 n
混合云 80 n
边缘计算 80 n
虚拟化 80 n
虚拟机 80 n
容器 80 n
容器编排 60 n
Kubernetes 80 n
Docker 80 n
微服务架构 60 n
服务网格 50 n
云原生 80 n
无服务器计算 60 n
弹性计算 60 n
对象存储 60 n
块存储 50 n
文件存储 50 n
内容分发 50 n
负载均衡器 50 n
自动伸缩 50 n
高可用 80 n
容灾备份 60 n
异地多活 40 n
两地三中心 40 n
# --- 人工智能与机器学习 ---
人工智能 100 n
机器学习 100 n
深度学习 100 n
强化学习 80 n
监督学习 80 n
无监督学习 80 n
半监督学习 60 n
迁移学习 60 n
联邦学习 60 n
神经网络 100 n
卷积神经网络 80 n
循环神经网络 60 n
长短期记忆 60 n
门控循环单元 50 n
自注意力机制 60 n
Transformer 80 n
生成对抗网络 60 n
变分自编码器 40 n
扩散模型 60 n
大语言模型 100 n
大规模语言模型 80 n
预训练模型 80 n
模型微调 60 n
模型压缩 50 n
模型量化 50 n
